2018.10.17 23:46:11-DBbuilder-INFO: OS : Windows
2018.10.17 23:46:11-DBbuilder.stocker-INFO: catalog_collector Function starts
2018.10.17 23:46:11-DBbuilder.stocker-DEBUG: Catalog Cache File not found
2018.10.17 23:46:11-DBbuilder.stocker-DEBUG: Starting reading library
2018.10.17 23:46:19-DBbuilder.stocker-DEBUG: Already checked 500 directories
2018.10.17 23:46:24-DBbuilder.stocker-DEBUG: Already checked 1000 directories
2018.10.17 23:46:27-DBbuilder.stocker-DEBUG: Already checked 1500 directories
2018.10.17 23:46:32-DBbuilder.stocker-DEBUG: Already checked 2000 directories
2018.10.17 23:46:35-DBbuilder.stocker-DEBUG: Already checked 2500 directories
2018.10.17 23:46:39-DBbuilder.stocker-DEBUG: Already checked 3000 directories
2018.10.17 23:46:43-DBbuilder.stocker-DEBUG: Already checked 3500 directories
2018.10.17 23:46:48-DBbuilder.stocker-DEBUG: Already checked 4000 directories
2018.10.17 23:46:53-DBbuilder.stocker-DEBUG: Already checked 4500 directories
2018.10.17 23:46:57-DBbuilder.stocker-DEBUG: Already checked 5000 directories
2018.10.17 23:47:00-DBbuilder.stocker-DEBUG: Already checked 5500 directories
2018.10.17 23:47:04-DBbuilder.stocker-DEBUG: Already checked 6000 directories
2018.10.17 23:47:07-DBbuilder.stocker-DEBUG: Already checked 6500 directories
2018.10.17 23:47:10-DBbuilder.stocker-DEBUG: Already checked 7000 directories
2018.10.17 23:47:13-DBbuilder.stocker-DEBUG: Already checked 7500 directories
2018.10.17 23:47:17-DBbuilder.stocker-DEBUG: Already checked 8000 directories
2018.10.17 23:47:21-DBbuilder.stocker-DEBUG: Already checked 8500 directories
2018.10.17 23:47:23-DBbuilder.stocker-DEBUG: Already checked 9000 directories
2018.10.17 23:47:27-DBbuilder.stocker-DEBUG: Already checked 9500 directories
2018.10.17 23:47:30-DBbuilder.stocker-DEBUG: Already checked 10000 directories
2018.10.17 23:47:33-DBbuilder.stocker-DEBUG: Already checked 10500 directories
2018.10.17 23:47:38-DBbuilder.stocker-DEBUG: Already checked 11000 directories
2018.10.17 23:47:40-DBbuilder.stocker-DEBUG: Already checked 11500 directories
2018.10.17 23:47:44-DBbuilder.stocker-DEBUG: Already checked 12000 directories
2018.10.17 23:47:48-DBbuilder.stocker-DEBUG: Already checked 12500 directories
2018.10.17 23:47:53-DBbuilder.stocker-DEBUG: Already checked 13000 directories
2018.10.17 23:47:56-DBbuilder.stocker-DEBUG: Already checked 13500 directories
2018.10.17 23:47:59-DBbuilder.stocker-DEBUG: Already checked 14000 directories
2018.10.17 23:48:03-DBbuilder.stocker-DEBUG: Already checked 14500 directories
2018.10.17 23:48:07-DBbuilder.stocker-DEBUG: Already checked 15000 directories
2018.10.17 23:48:10-DBbuilder.stocker-DEBUG: Already checked 15500 directories
2018.10.17 23:48:14-DBbuilder.stocker-DEBUG: Already checked 16000 directories
2018.10.17 23:48:17-DBbuilder.stocker-DEBUG: Already checked 16500 directories
2018.10.17 23:48:21-DBbuilder.stocker-DEBUG: Already checked 17000 directories
2018.10.17 23:48:25-DBbuilder.stocker-DEBUG: Already checked 17500 directories
2018.10.17 23:48:28-DBbuilder.stocker-DEBUG: Already checked 18000 directories
2018.10.17 23:48:33-DBbuilder.stocker-DEBUG: Already checked 18500 directories
2018.10.17 23:48:37-DBbuilder.stocker-DEBUG: Already checked 19000 directories
2018.10.17 23:48:40-DBbuilder.stocker-DEBUG: Already checked 19500 directories
2018.10.17 23:48:45-DBbuilder.stocker-DEBUG: Already checked 20000 directories
2018.10.17 23:48:48-DBbuilder.stocker-DEBUG: Already checked 20500 directories
2018.10.17 23:48:51-DBbuilder.stocker-DEBUG: Already checked 21000 directories
2018.10.17 23:48:54-DBbuilder.stocker-DEBUG: Already checked 21500 directories
2018.10.17 23:48:56-DBbuilder.stocker-DEBUG: Already checked 22000 directories
2018.10.17 23:49:00-DBbuilder.stocker-DEBUG: Already checked 22500 directories
2018.10.17 23:49:03-DBbuilder.stocker-DEBUG: Already checked 23000 directories
2018.10.17 23:49:07-DBbuilder.stocker-DEBUG: Already checked 23500 directories
2018.10.17 23:49:10-DBbuilder.stocker-DEBUG: Already checked 24000 directories
2018.10.17 23:49:14-DBbuilder.stocker-DEBUG: Already checked 24500 directories
2018.10.17 23:49:18-DBbuilder.stocker-DEBUG: Already checked 25000 directories
2018.10.17 23:49:21-DBbuilder.stocker-DEBUG: Already checked 25500 directories
2018.10.17 23:49:24-DBbuilder.stocker-DEBUG: Already checked 26000 directories
2018.10.17 23:49:28-DBbuilder.stocker-DEBUG: Already checked 26500 directories
2018.10.17 23:49:31-DBbuilder.stocker-DEBUG: Already checked 27000 directories
2018.10.17 23:49:34-DBbuilder.stocker-DEBUG: Already checked 27500 directories
2018.10.17 23:49:38-DBbuilder.stocker-DEBUG: Already checked 28000 directories
2018.10.17 23:49:41-DBbuilder.stocker-DEBUG: Already checked 28500 directories
2018.10.17 23:49:44-DBbuilder.stocker-DEBUG: Already checked 29000 directories
2018.10.17 23:49:48-DBbuilder.stocker-DEBUG: Already checked 29500 directories
2018.10.17 23:49:51-DBbuilder.stocker-DEBUG: Already checked 30000 directories
2018.10.17 23:49:54-DBbuilder.stocker-DEBUG: Already checked 30500 directories
2018.10.17 23:49:59-DBbuilder.stocker-DEBUG: Already checked 31000 directories
2018.10.17 23:50:01-DBbuilder.stocker-DEBUG: Already checked 31500 directories
2018.10.17 23:50:04-DBbuilder.stocker-DEBUG: Already checked 32000 directories
2018.10.17 23:50:08-DBbuilder.stocker-DEBUG: Already checked 32500 directories
2018.10.17 23:50:11-DBbuilder.stocker-DEBUG: Already checked 33000 directories
2018.10.17 23:50:14-DBbuilder.stocker-DEBUG: Already checked 33500 directories
2018.10.17 23:50:18-DBbuilder.stocker-DEBUG: Already checked 34000 directories
2018.10.17 23:50:21-DBbuilder.stocker-DEBUG: Already checked 34500 directories
2018.10.17 23:50:24-DBbuilder.stocker-DEBUG: Already checked 35000 directories
2018.10.17 23:50:28-DBbuilder.stocker-DEBUG: Already checked 35500 directories
2018.10.17 23:50:32-DBbuilder.stocker-DEBUG: Already checked 36000 directories
2018.10.17 23:50:35-DBbuilder.stocker-DEBUG: Already checked 36500 directories
2018.10.17 23:50:37-DBbuilder.stocker-DEBUG: Already checked 37000 directories
2018.10.17 23:50:41-DBbuilder.stocker-DEBUG: Already checked 37500 directories
2018.10.17 23:50:44-DBbuilder.stocker-DEBUG: Already checked 38000 directories
2018.10.17 23:50:48-DBbuilder.stocker-DEBUG: Already checked 38500 directories
2018.10.17 23:50:51-DBbuilder.stocker-DEBUG: Already checked 39000 directories
2018.10.17 23:50:54-DBbuilder.stocker-DEBUG: Already checked 39500 directories
2018.10.17 23:50:58-DBbuilder.stocker-DEBUG: Already checked 40000 directories
2018.10.17 23:51:02-DBbuilder.stocker-DEBUG: Already checked 40500 directories
2018.10.17 23:51:05-DBbuilder.stocker-DEBUG: Already checked 41000 directories
2018.10.17 23:51:09-DBbuilder.stocker-DEBUG: Already checked 41500 directories
2018.10.17 23:51:12-DBbuilder.stocker-DEBUG: Already checked 42000 directories
2018.10.17 23:51:17-DBbuilder.stocker-DEBUG: Already checked 42500 directories
2018.10.17 23:51:21-DBbuilder.stocker-DEBUG: Already checked 43000 directories
2018.10.17 23:51:24-DBbuilder.stocker-DEBUG: Already checked 43500 directories
2018.10.17 23:51:25-DBbuilder.stocker-INFO: Library reading ended with 43554 directories
2018.10.17 23:51:25-DBbuilder.stocker-INFO: catalog_collector found 31435 dirs to check


